model,epoch,eval_loss,overall_acc,ate,backadj,collider_bias,correlation,det-counterfactual,ett,exp_away,marginal,nde,nie,best_checkpoint
olmo3-7b-instruct,1,0.18089,0.8028,1.0000,1.0000,1.0000,0.8750,0.6000,0.9412,0.4000,0.5227,0.6429,0.7826,
olmo3-7b-instruct,2,0.14994,0.8512,1.0000,1.0000,1.0000,0.9250,0.6250,1.0000,0.4000,0.5909,0.9286,0.8696,
olmo3-7b-instruct,3,0.13541,0.9066,1.0000,1.0000,1.0000,0.9750,0.7500,0.9706,0.6000,0.7500,0.9286,0.9565,
olmo3-7b-instruct,4,0.13369,0.9239,1.0000,1.0000,1.0000,1.0000,0.7750,0.9706,0.4000,0.8636,0.9286,0.9130,*
olmo3-7b-instruct,5,0.15228,0.9239,1.0000,1.0000,1.0000,1.0000,0.7750,0.9706,0.4000,0.8636,0.9286,0.9130,
